nct_id,brief_title,why_stopped,brief_summary,detailed_description
NCT02508324,IPA Targeted Adoptive Immunotherapy vs Adult Haplo-identical Cell Infusion During Induction of High Risk Leukemia,Slow accrual and change in direction of cord blood program,"The purpose of this study is to determine the overall safety of adoptive immunotherapy when given after chemotherapy for AML/MDS. Adoptive immunotherapy means using an infusion of cells from a donor to help fight cancer. The donor cells will be either from the umbilical cord blood (UCB) of a newborn baby or they will be cells collected from a relative (haplo-identical cells).~The 2 cohorts that were discussed - adoptive immunotherapy with either UCB or haplo-identical stem cells - will be analyzed separately.~Preliminary data from other centers has suggested that adoptive immunotherapy with cells from a relative is an effective approach that may improve remission rates and survival in AML and MDS, because they exert anti-cancer effects of their own (so called graft vs leukemia effects) and possibly because they hasten recovery of cell counts from chemotherapy. The Investigators are interested in confirming these data, but also in testing umbilical cord blood cells for the same purpose. Preliminary data indicate that umbilical cord blood cells may have more powerful graft vs leukemia effects and cause fewer side-effects.","This is a phase 2 trial to evaluate the safety of adoptive immunotherapy with Non-Inherited Maternal Antigen (NIMA) compatible, Inherited Paternal Antigen (IPA) targeted CBU or with haplo-identical stem cells after conventional induction therapy for very high risk Acute Myeloid Leukemia (AML) or Myelodysplastic Syndrome (MDS).~The study has 2 cohorts - patients in cohort 1 will receive CBU cells as adoptive immunotherapy. Patients in cohort 2 will receive haplo-identical cells. Both cohorts will be evaluated separately and no formal statistical comparison between cohorts will be performed.~There will be approximately 20 patients in each cohort, and a 95% confidence interval for the proportion of patients experiencing grade III-IV GVHD complications or unexplained prolonged myelosuppression complications in each cohort can be constructed to be within +/- 13.1% of the observed complication proportions. This calculation assumes an expected prevalence of each of these complication proportions of no greater than 10%.~After 10 patients are enrolled in each group, the incidence of the above-defined life-threatening complications will be assessed. If more than one patient out of 10 enrolled patients (i.e., greater than 10%) in a cohort experiences either of these complications, the cohort will be stopped for safety.~All potential recipients will have complete HLA typing and determination of HLA antibodies. An appropriate umbilical cord blood unit (CBU) will be identified or in the absence of an appropriate CBU, a haplo-identical donor will be identified.~Treatment will be as per the treating physician's choice..~The umbilical cord graft or haplo-graft will be administered between 24 - 72 hours after the completion of the chemotherapy regimen.~The Graft Selection Algorithm is as follows:~1. CBU Unit 5/6 Matched - 1 NIMA match with patient~2. CBU Unit 5/6 Matched - Shared IPA target(s) with patient~3. Haplo-identical relative~4. CBU Unit 4/6 Matched - 1-2 NIMA matches with patient~5. CBU Unit 4/6 Matched - Shared IPA target(s) with patient~Within 42 days of transplant, the recipient's pre-treatment evaluation includes: medical history and physical examinations, Eastern Cooperative Group Oncology Group (ECOG) score, complete blood count (CBC), HLA antibodies, and cytomegalovirus (CMV) antibody testing.~Patients will continue with the therapy specified in this protocol until one of the following occurs:~* Achievement of protocol endpoint complete remission (CR) or CR with incomplete platelet recovery (CRp) after induction and cellular therapy;~* Failure to achieve CR or CRp; or,~* Extraordinary Medical Circumstances: If, at any time the constraints of this protocol are detrimental to the patient's health and/or the patient no longer wishes to continue protocol therapy, remove the patient from protocol treatment. In this event.~After removal from protocol therapy, patients will continue to be followed for survival and disease status. Samples for correlative studies will continue to be collected every two months until one year after cell infusion."
NCT01090973,Oral LBH589 in Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL) and Mantle Cell Lymphoma (MCL),Pharmaceutical company request.,The purpose of the study is to find out the effects and the safety of an investigational study drug called LBH589 when given to people with relapsed or refractory chronic lymphocytic leukemia (CLL) or mantle cell lymphoma (MCL).,"Response Assessment for Mantle Cell Lymphoma~Based on the International Workshop to Standardize Response Criteria to non-hodgkin's lymphoma (NHL) (Cheson, JCO 1999) a complete hematologic remission will be defined as the following:~* Disappearance of all evidence of disease.~* Any positron emission tomography (PET)+ mass prior to therapy must be PET negative after treatment.~* No palpable spleen or liver~* If bone marrow involvement prior to therapy, must document clear bone marrow.~Partial response will be defined as:~* No new areas of disease on clinical exam and regression of previous areas of disease~* Greater than or equal to 50% decrease in the size of prior disease areas per measurement on computed tomography (CT) scan~* No new PET+ areas on PET scan~* No increase in size of liver or spleen~Response Assessment for CLL~Using the National Cancer Institute (NCI) criteria, a complete hematologic remission will be defined as having the following present for 2 or more months:~* Absence of symptoms attributable to CLL~* Normal findings on physical examination~* Absolute lymphocyte count \<4000/microL~* Absolute neutrophil count (ANC) \>1500/microL~* Platelet count \>100,000/microL~* Hemoglobin concentration \>11 g/dL (untransfused)~* Bone marrow lymphocytosis \<30 percent~* No nodules (lymphoid aggregates) on bone marrow biopsy~A partial response per the NCI criteria will be defined as having the following for 2 or more months:~* A reduction in previously enlarged nodes, spleen, and liver by at · least 50 percent and~* Absolute neutrophil count ≥1500/microL or~* Platelet count ≥100,000/microL or~* Hemoglobin concentration ≥11 g/dL or~* 50 percent improvement over pretherapy reductions in hemoglobin concentration and/or platelet count"
NCT01466868,Study of MK 2206 in Patients With Relapsed or Refractory Diffuse Large B Cell Lymphoma,"Regarding the comments of the iDSMB, the sponsor decided to stop the inclusions",The purpose of this study is to evaluate the antitumor efficacy and the safety of MK 2206 in patients with relapsed or refractory diffuse large B cell lymphoma.,"Diffuse Large B-cell Lymphoma (DLBCL) is the most frequent subtype of Non-Hodgkin lymphoma (NHL) around the world, in all age groups.~DLBCL is a curable disease and combination of monoclonal antibody against CD20 (rituximab) with cyclophosphamide, doxorubicin, vincristine and prednisolone (CHOP) regimen have improved the prognosis of patients with a 20% increase of the cure rate. For the remaining patients who are not in complete response and/or who relapse after first line therapy, the possibility of cure is dramatically reduced.~As PI3K/AKT/mTOR pathway regulates the expression of cyclin D1, c-Myc and Stat3 proteins, which are involved in the pathogenesis of DLBCL HL), this signalling axis is an emerging therapeutic target for treatment of DLBCL.~One study has shown that the level of p-Akt is an adverse prognostic feature in DLBCL and is found in 52% of tumors samples from DLBCL patients.~Given the fact that AKT is overactivated in about to 52% of DLBCL and is considered as a poor prognosis factor, we postulate that targeting AKT in DLBCL may be an interesting therapeutic strategy.~MK-2206 is an orally selective allosteric inhibitor of AKT developed by MERCK currently highlighted as a promising therapeutic option for cancer patients and under clinical development in several Phase 1 trials.~Therefore, we propose to conduct a Phase II study using a two-stage Simon's design with objective response rate (ORR) as the primary endpoint."
NCT02725372,"Clinical Study of Pulsed, Inhaled Nitric Oxide Versus Placebo in Symptomatic Subjects With PAH",Trial stopped for futility,"Phase 3, placebo controlled, double-blind, randomized clinical study to determine safety, tolerability, and efficacy of pulsed, inhaled nitric oxide (iNO) versus placebo in symptomatic subjects with pulmonary arterial hypertension (PAH). Part 1 and Part 2","Phase 3, placebo controlled, double-blind, randomized, clinical study to determine safety, tolerability and efficacy of pulsed inhaled nitric oxide (iNO) versus placebo as add-on therapy in subjects with pulmonary arterial hypertension (PAH) who remain symptomatic on approved PAH monotherapy or combination approved PAH therapy and long term oxygen therapy (LTOT). (Part 1 and Part 2)"
NCT04149990,Angiotensin-Neprilysin Inhibition in Diastolic Dysfunction After AMI,Low recruitment,This study examines the effect of Entresto on central hemodynamic parameters during exercise in patients with diastolic dysfunction following acute myocardial infarction. Half of the patients will receive Entresto and the other half will receive placebo.,"In patients with acute myocardial infraction (AMI) only 25-33% have entirely normal left ventricular (LV) systolic and diastolic function. Studies have show that echocardiographic signs of increased LV filling pressure (diastolic dysfunction) are associated with poor outcome after AMI. The optimal management of this group of patients is currently not known. LCZ696 is a novel combination drug consisting of two antihypertensives, sacubitril and valsartan. LCZ696 have demonstrated to reduce mortality in patients with systolic heart failure. In patients with heart failure with preserved ejection fraction a positive effect has been demonstrated on natriuretic peptides and left atrial remodelling when treated with LCZ696, further, experimental data suggest inhibition of cardiac fibrosis.~Hypothesis:~LCZ696 compared with placebo will improve central hemodynamics (reduce pulmonary capillary wedge pressure (PCWP)), and increase cardiac index (CI) during exercise in patients with diastolic dysfunction following AMI. A beneficial effect that is attributed to improved cardiac remodelling (attenuation of cardiac fibrosis).~Primary objective To asses the effect of 6 months treatment with LCZ696 compared with placebo on ratio of PCWP/CI during exercise in patients with a recent AMI and Doppler echocardiographic signs of diastolic dysfunction and preserved systolic function."
NCT00119366,"Iodine I 131 Monoclonal Antibody BC8, Fludarabine Phosphate, Total Body Irradiation, and Donor Stem Cell Transplant Followed by Cyclosporine and Mycophenolate Mofetil in Treating Patients With Advanced Acute Myeloid Leukemia or Myelodysplastic Syndrome",Funding ended before target accrual was reached; participants are no longer being examined or receiving intervention.,"This phase II trial studies the side effects and best dose of iodine I 131 monoclonal antibody BC8 when given together with fludarabine phosphate, total-body irradiation, and donor stem cell transplant followed by cyclosporine and mycophenolate mofetil in treating patients with acute myeloid leukemia or myelodysplastic syndrome that has spread to other places in the body and usually cannot be cured or controlled with treatment. Giving chemotherapy drugs, such as fludarabine phosphate, and total-body irradiation before a donor peripheral blood stem cell transplant helps stop the growth of cancer or abnormal cells and helps stop the patient's immune system from rejecting the donor's stem cells. Also, radiolabeled monoclonal antibodies, such as iodine I 131 monoclonal antibody BC8, can find cancer cells and carry cancer-killing substances to them without harming normal cells. When the healthy stem cells from a donor are infused into the patient they may help the patient's bone marrow make stem cells, red blood cells, white blood cells, and platelets. Sometimes the transplanted cells from a donor can make an immune response against the body's normal cells. Giving fludarabine phosphate and total-body irradiation before the transplant together with cyclosporine and mycophenolate mofetil after the transplant may stop this from happening. Giving a radiolabeled monoclonal antibody together with donor stem cell transplant, cyclosporine, and mycophenolate mofetil may be an effective treatment for advanced acute myeloid leukemia or myelodysplastic syndromes.","PRIMARY OBJECTIVES:~I. To evaluate the maximum tolerated dose (MTD) and the transplant-related mortality (TRM) and toxicity of delivering 131I-BC8 (iodine I 131 monoclonal antibody BC8) (anti-cluster of differentiation \[CD\]45 antibody) at a starting dose of 22 Gy to the normal organ receiving the highest dose in combination with the non-myeloablative regimen of fludarabine (fludarabine phosphate) (FLU), 2 Gy total body irradiation (TBI), cyclosporine (CSP), mycophenolate mofetil (MMF), and human leukocyte antigen (HLA)-matched related or unrelated allogeneic hematopoietic stem cell transplant (HSCT) in patients 16 to 50 years old who have advanced acute myeloid leukemia (AML) or high risk myelodysplastic syndrome (MDS).~II. To estimate rates of donor chimerism resulting from this combined preparative regimen and to correlate level of donor chimerism with estimated radiation doses delivered to hematopoietic tissues via antibody.~III. To determine rates of disease relapse, graft vs. host disease, and 2-year disease-free survival in patients receiving 131I-BC8 antibody combined with FLU, 2 Gy TBI, CSP, MMF, and HLA-matched related or unrelated allogeneic HSCT.~OUTLINE: This is a dose-escalation study of iodine I 131 monoclonal antibody BC8.~RADIOIMMUNOTHERAPY: Patients receive therapeutic iodine I 131 monoclonal antibody BC8 intravenously (IV) on day -12.~CONDITIONING: Patients receive fludarabine phosphate IV on days -4 to -2 and undergo TBI on day 0.~TRANSPLANTATION: After completion of TBI, patients undergo allogeneic peripheral blood stem cell (PBSC) transplant on day 0.~IMMUNOSUPPRESSION: Patients with a matched related donor receive cyclosporine IV or orally (PO) twice daily (BID) on days -3 to 56 followed by a taper to day 180 in the absence of graft-versus-host disease. Beginning 4-6 hours after PBSC transplant, these patients also receive mycophenolate mofetil PO BID on days 0 to 27. Patients with a matched unrelated donor receive cyclosporine IV or PO BID on days -3 to 100 followed by a taper to day 180. Beginning 4-6 hours after PBSC transplant, these patients also receive mycophenolate mofetil PO thrice daily (TID) on days 0 to 40 followed by a taper to day 96.~After completion of study treatment, patients are followed up at 6, 9, 12, 18, and 24 months and then annually thereafter."
NCT05260541,A Clinical Trial of PRAX-114 in Participants With Post-Traumatic Stress Disorder,No longer developing for this indication,"This trial is comprised of a 4-week randomized, double-blind, placebo-controlled treatment period followed by an optional 8-week open-label extension (OLE) period.~This trial will evaluate the efficacy and safety of oral PRAX-114 flexibly dosed at 40 to 60 mg for 4 weeks compared to placebo in adults with PTSD. The OLE period consisting of treatment with 40 mg PRAX-114 for 8 weeks will provide additional efficacy and safety data.",
NCT01364389,"A 3-arm Proof of Concept Study of AIN457, ACZ885 or Corticosteroids in Patients With Polymyalgia Rheumatica",Data did not show that the two biologic treatments impacted PMR disease activity to the same degree as steroid treatment within a 2-week treatment period.,"The study is a two-week, single-blinded, double-dummy, randomized, active-controlled, parallel group design, with a follow-up period up to a total study duration of 6-month, non-randomized, open-label phase to monitor safety, tolerability and, in responders, flare. It is a multicentric, multinational study. The protocol will seek to enroll a total of 30 patients, who will be randomized to the 3 arms at a ratio of 1:1:1.~Patients will have a maximum screening period of 7 days with randomization at D1 for a dosing period of 15 days followed by a follow up-period of 154 days, or 4 months (112 days) after their last biologic dose, whichever is greater, and followed by unblinded re-dosing in the case of a disease flare.",
NCT00000305,Amphetamine Cocaine Interaction Study - 2,Original P.I. left the institution,The purpose of this study is to evaluate results of d-amphetamine - cocaine (pharmacology) interaction study.,
NCT04335552,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection","Poor recruitment, strong evidence from larger trials of no therapeutic benefit","This is a pragmatic, randomized, open-label, incomplete factorial with nested randomization clinical trial evaluating the efficacy and safety of two potential treatments for hospitalized patients with confirmed SARS-CoV-2 infection. Participants who are hospitalized and have a positive nucleic acid amplification test for SARS-CoV-2 will undergo an initial randomization in a 1:1 ratio to one of the following regimens:~Arm 1: Standard of care alone~Arm 2: Standard of care plus hydroxychloroquine~Participants who meet eligibility criteria to receive azithromycin will undergo a second randomization in a 1:1 ratio to receive additional concurrent therapy. This will effectively result in four treatment groups:~1. Standard of care alone~2. Standard of care plus hydroxychloroquine~3. Standard of care plus azithromycin~4. Standard of care plus hydroxychloroquine plus azithromycin",
NCT00867256,Cormet Large Diameter Metal on Metal (LDMOM) Total Hip System (G030265),terminated for business reasons; study closed.,To demonstrate the safety and efficacy of the Cormet Large Diameter Metal on Metal (LDMOM) Total Hip System using a composite clinical success (CCS) primary endpoint.,"The results from the Cormet Large Diameter Metal on Metal (LDMOM) Total Hip System cohort will be compared to the historical results from a ceramic on ceramic (CoC) hip system cohort. The primary endpoint clinical composite success (CCS) criterion at 24 months postoperative is based on a Harris Hip Score ≥ 80 and the absence of any revision,replacement, or modification of any study component."
NCT02714374,GL-ONC1 Administered Intravenously Prior to Surgery to Patients With Solid Organ Cancers,Insufficient funding,"The purpose of this study is to evaluate the safety of the investigational product GL-ONC1. GL-ONC1, a vaccinia virus, has been genetically modified for use as a potential anti-cancer drug to destroy cancer cells. Vaccinia virus has been used successfully in the past as smallpox vaccine in millions of people worldwide.","This is an open-label, non-randomized Phase 1b dose escalation study evaluating the safety and effect of the oncolytic virus GL-ONC1 administered intravenously, with or without eculizumab, prior to surgery in patients with advanced solid organ tumors.~GL-ONC1 is a genetically engineered oncolytic vaccinia virus, which disrupts nonessential genes and expression of the foreign gene expression. Evidence suggest that GL-ONC1 is able to infect tumor tissue and kill tumor cells.~The goals of this study are to evaluate the safety of GL-ONC1 and to assess the pharmacokinetics and pharmacodynamics profile of GL-ONC1 in vivo."
NCT01296035,Panitumumab and Gemcitabine in Relapsed Ovarian Cancer,Newer technologies available; poor accrual to study.,"This is a study to find out if the study drug, panitumumab, when given with gemcitabine works in treating ovarian cancer and to find out what side effects occur when they are given together.","Epithelial ovarian cancer (EOC) remains a leading cause of gynecologic cancer mortality in women, with more than 22,000 deaths per year in the United States alone. Due to the lack of effective screening strategies and subtle early symptoms, eighty percent of newly diagnosed patients have disease that is advanced. Despite cytoreductive surgery and adjuvant paclitaxel-based and platinum-based chemotherapy, 5-year survival rates continue to be less than 40%. For patients who become resistant to the platinum compounds (defined as progressive disease while on a platinum-based chemotherapy regimen (refractory) or within 6 months of completing a platinum-based chemotherapy regimen (resistant)),the outlook is particularly poor, and often heralds multi-drug resistant disease.~At the present time, the management of ovarian cancer in the platinum refractory disease state is limited to palliative intent. Patients with advanced, bulky tumors, poor performance status and nutritional compromise are unlikely to respond to therapy and may be best served by supportive care. The clinical management of refractory disease requires both patience and persistence. A patient with platinum refractory disease is begun on one of the agents with activity and an evaluation of response is made every 6-8 weeks of therapy. As long as the patient shows no signs of disease progression, the therapy can be continued unless there is unacceptable toxicity. When progressive disease is observed, another of the list of available agents can be used. It is likely that patients will receive multiple single agents during the chronic phase of their illness. Every effort should be made to balance disease response with toxicity and quality of life.~Based on this rational, this trial will be conducted to evaluate the safety and efficacy of panitumumab, a human antibody targeted to the EGF-R, and Gemcitabine, in treating women with recurrent platinum-refractory/resistant EOC. Our aim is to determine the safety and feasibility of gemcitabine and panitumumab therapy in this population and once completed, to proceed with an efficacy study using an expanded cohort."
NCT04417257,Study of LAU-7b for the Treatment of Coronavirus Disease 2019 (COVID-19) Disease in Adults,"Phase 2 completed normally, Phase 3 terminated for futility due to lack of aggravation events.","A randomized, double-blind, placebo-controlled Phase 2/3 Study of LAU-7b against confirmed COVID-19 Disease in hospitalized patients at a higher risk of complications.","RESOLUTION is a multicenter, randomized, double-blind, placebo-controlled Phase 2/3 study of LAU-7b for the treatment of COVID-19 Disease in participants at a higher risk than the general COVID-19 Disease population to develop complications while hospitalized.~The goal of the study is to evaluate the efficacy of LAU-7b therapy + standard-of-care relative to placebo + standard-of-care in participants with COVID-19 Disease with confirmed SARS-CoV-2 infection. SARS is severe acute respiratory syndrome. CoV is  Coronavirus.~The purpose of the treatment with LAU-7b is to prevent the worsening of the health of hospitalized participants including aggravation such as recourse to mechanical ventilation and death.~The means are the direct effects of LAU-7b on the resolution of inflammation, interference with viral proliferation and protection from excessive pro-inflammatory response."
NCT01985022,Changing Developmental Trajectories Through Early Treatment,Participant enrollment was hindered by the COVID-19 pandemic and the study was ultimately terminated.,"The major objective of this research protocol is to directly compare two parent intervention conditions of Early Social Interaction (ESI) for 9 months on developmental trajectories of infants showing early risk for Autism Spectrum Disorder (ASD). Participants will be randomized to receive an information, education and support group (Group) ESI intervention offered weekly, or a parent-implemented intervention (Individual) ESI intervention offered in twice-weekly, in combination with the Group ESI intervention.","Mounting evidence exists of the effectiveness of intensive early intervention for a substantial proportion of children with autism spectrum disorders (ASD). Furthermore, age of entry into intervention may be predictive of outcome. Children with ASD in intensive interventions beginning by 3.5 years of age had significantly better outcomes than those beginning after age 5. These findings support the importance of early identification and intervention for improving outcomes. There is very limited research on children with ASD under 3 years of age primarily because the median age for diagnosis in the US is 5.5 years. With advances in earlier screening and diagnosis, there is a pressing need to develop early intervention programs that are appropriate and effective with very young children with ASD.~The Early Social Interaction (ESI) Project is an intervention program developed for toddlers at risk for ASD and their families as a model demonstration project funded by the United States Department of Education. ESI was designed to incorporate the National Research Council (NRC) recommendations within the context of a family-centered, natural-environments approach. The major components of ESI are:~1. routines-based intervention in natural environments~2. individualized curriculum~3. parent-implemented intervention~The Emory Autism Center of Excellence (ACE) will recruit parent-infant dyads at 12 months of infant's age from a pool of High-Risk for Developing ASD younger siblings and from a pool of low risk infants being studied at the Emory ACE. Parents are involved in the intervention itself while the study outcome measures are focused on the infants that are receiving the different interventions (demographic and outcome data are not collected on the parents of the infants). Infant participants will be randomized to receive an ESI intervention delivered in a group setting, or an individual ESI intervention combined with the group ESI. The intervention will last 9 months and infants will be followed until they reach 36 months of age."
NCT02212574,Study Assessing the Feasibility of a Surgery and Chemotherapy-Only in Children With Wnt Positive Medulloblastoma,Participant relapses led to abrupt stop of study.,Participants enrolling on this study will receive standard of care chemotherapy for Wnt positive medulloblastoma without the radiation therapy or the weekly chemotherapy that is given during radiation therapy.,"There will be 9 cycles of chemotherapy. There are two different kinds of cycles given. They are referred to as A and B.~Cycle A lasts for 6 weeks and Cycle B lasts for 4 weeks. B cycles are given after the completion of two A cycles.~Below are the details of the drugs and schedules for A and B cycles.~Cycle A (This cycle lasts 42 days)~* Lomustine (CCNU) is given by mouth on Day 1.~* Vincristine is given directly into a vein (IV) over one minute or using a minibag over several minutes by some institutions on Days 1, 8, and 15.~* Cisplatin is given directly into a vein over 8 hours on Day 1~Cycle B (This cycle lasts 28 days)~* Cyclophosphamide is given into a vein over 1 hour on Days 1 and 2.~* MESNA, a drug to protect the bladder from the effects of cyclophosphamide, will be given 15 minutes before each dose of cyclophosphamide and repeated at 3 and 6 hours.~* Vincristine is given directly into a vein directly into the vein (IV) over one minute or using a minibag over several minutes by some institutions on Days 1 and 8.~You may also get a supportive care drug called a myeloid growth factor (filgrastim or pegfilgrastim). This drug will help your blood counts recover after the chemotherapy is given."
NCT00893516,CD4 in Combination With CHOP in Treating Non-cutaneous Peripheral TCell Lymphoma,Portfolio consolidation.,Evaluation of CD4 in combination with CHO chemotherapy in subjects with nodal involvement of non cutaneous Tcell lymphoma.,
NCT03796195,(SGB) in Men Treated for Prostate Cancer Improve Hot Flashes,Enrollment issues,"Androgen Deprivation Therapy (ADT) is a critical component of advanced prostate cancer treatment but causes numerous adverse effects including decreased bone mass, decreased muscle mass, gynecomastia, erectile dysfunction, loss of sexual desire, depression, disordered sleep, urinary symptoms, and hot flashes (HF). HF are unpleasant paroxysmal episodes of flushing, sweating with vasodilation of the face, neck, and chest. These episodes can last for seconds to minutes and are often associated with night sweats, anxiety, and insomnia and have negative effects on quality of life.~Stellate ganglion blockade (SGB) with local anesthetic may be an effective treatment of HF in men on ADT, but has not been studied in any published clinical trials.~The stellate ganglion is a neural structure in the anterior cervical spine region and is part of the sympathetic nervous system. It has been injected safely in the practice of pain management for more than 50 years in cases of post herpetic neuralgia (shingles), complex regional pain syndrome (CRPS) and other painful neuropathies as well as some types of cardiac dysrhythmias.~Given the frequency and severity and interference of HF in men on ADT for prostate cancer, in addition to the negative effects HF impose on this patient population and a paucity of effective treatments, finding alternative treatments for HF in this population is needed.",
NCT00030472,Liposomal Doxorubicin in Treating Patients With Persistent or Recurrent Cancer of the Cervix,,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.~PURPOSE: Phase II trial to study the effectiveness liposomal doxorubicin in treating patients who have persistent or recurrent cancer of the cervix.,"OBJECTIVES:~* Determine the antitumor activity of doxorubicin HCl liposome in patients with persistent or recurrent squamous cell carcinoma of the cervix.~* Determine the toxicity of this drug in these patients.~OUTLINE: This is a multicenter study.~Patients receive doxorubicin HCl liposome IV over 1 hour on day 1. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.~Patients are followed every 3 months for 2 years, every 6 months for 3 years, and then annually thereafter.~PROJECTED ACCRUAL: A total of 22-60 patients will be accrued for this study."
NCT01600742,Vorinostat and Concurrent Whole Brain Radiotherapy for Brain Metastasis,Sponsor stops to provide the study drug.,Vorinostat is a potent and well tolerated HDAC inhibitor. It has been reported to enhance radiosensitivity of cancer cells. We hypothesize that the addition of vorinostat to WBRT may increase therapeutic efficacy for patients with brain metastases.,"Whole brain radiotherapy (WBRT) is the treatment of choice for the majority of patients with brain metastases. Although WBRT yields high radiologic response rate (27\~56%) and is effective in palliation of neurologic symptoms, the response duration is limited and neurologic progression remains the main cause of death in a significant number of patients.~Vorinostat is reasonably well tolerated and there is also compelling evidence that vorinostat may serve as a radiosensitizer. Preclinical studies of HDAC inhibition have also shown efficacy in neuron protection. These data suggest that the addition of vorinostat to the standard therapy of WBRT may potentially increase their therapeutic efficacy without increasing neurotoxicity, and support the rationale of this phase II trial of vorinostat with WBRT in patients with brain metastases."
NCT00387777,Multiple Dose Trial Comparing the Plasma Levels of Two Different Analgesic Transdermal Patch Formulations,,The purpose of this study is to determine whether Transtec(R) PRO 70 µg/h and a new buprenorphine patch formulation lead to same plasma levels of buprenorphine after multiple dose application.,"Main: To demonstrate the bioequivalence of the new buprenorphine transdermal patch T2rev formulation containing 13 mg buprenorphine (Test) as compared to Transtec(R) PRO 70 µg/h patch transdermal patch containing 40 mg buprenorphine as reference after multiple patch application. Pharmacokinetic target parameters are AUCss,Tau and Css,max.~Further: To assess the safety, tolerability, skin tolerability and adhesiveness of the patch applications. To evaluate the following further Pharmacokinetic parameters: Css,min, Css,ave, PTF, Swing, tss,max, and t1/2,z"
NCT00543205,"Pharmacokinetics of G3139 in Subjects With Advanced Melanoma, Including Those With Normal Hepatic Function and Those With Moderate Hepatic Impairment",Terminated due to very slow enrollment,"This is an open-label, parallel-group study with a total of 16 evaluable subjects. Subjects will be assigned to 1 of the following cohorts: Cohorts I (subjects with normal hepatic function; n+8 and Cohort II (subjects with moderate hepatic impairment, Child-Pugh classification Grade B; n=8). If, for any reason, the Genasense infusion is interrupted or discontinued prior to completion or the rate of administration of the Genasense infusion is changed, the subject will be replaced.",
NCT02394665,Dose Escalated MRSI Guided Radiation Therapy in Glioblastoma,Lack of Accrual/Enrollment,"In summary, the overall prognosis of glioblastoma (GBM) patients remains poor. Although clinical gains have been achieved in the past, these have been modest, with a majority of patients succumbing to local disease progression within 2 years. New strategies for treatment need to be identified which enhance local control above the current treatment regimen in order to achieve further clinical gains in this disease. Favorable early experience with magnetic resonance spectroscopy imaging (MRSI) demonstrates that metabolic imaging can identify active tumor beyond standard MRI as well as high risk regions at risk for local failure. There is also clinical evidence that limited field dose escalation with either simultaneous integrated boost (SIB) or stereotactic radiosurgery (SRS) is feasible and safe. Coupling these findings provide the rationale for this proposed Phase II trial designed to define efficacy and toxicity of the novel treatment approach of whole brain volumetric 3D MRSI guided dose-escalated radiation therapy (RT) in newly diagnosed GBM patients.","This phase II study will investigate efficacy and safety of volumetric 3D MRSI-directed treatment for newly diagnosed GBM patients. This study will enroll 48 patients in order to obtain at least 40 patients receiving RT and temozolomide. Depending on the size and number of HTVs, a patient will receive either simultaneous integrated boost (SIB) with IMRT (Group 1) or SRS boost followed by IMRT 1 week later (Group 2). Duration of enrollment will be 2 years and minimum follow-up will be 2 years.~The duration of treatment and follow-up will occur as follows:~* Six weeks of RT with concurrent Temozolomide treatment;~* 3D MRSI at week 3 and at the end of RT;~* 28 day break;~* Adjuvant treatment with Temozolomide administered daily on days 1-5 of each cycle, for up to 12 cycles (one cycle = 28 days) which will include standard gadolinium enhanced MRI and 3D MRSI prior to cycle 1, 5, 9, and post cycle 12 of adjuvant Temozolomide;~* Active follow-up at least every three months for one year after the end of adjuvant Temozolomide treatment;~* After one year follow-up for survival will occur every three months for one year."
NCT00296686,"Sequential Tranylcypromine (TC), TC + Dextroamphetamine and TC + Triiodothyronine for Refractory Depression",Study is no longer funded.,This pilot study will assess the efficacy of several sequential pharmacological treatments for patients with Refractory Depression.,"This pilot study will recruit 40 patients with Major Depression and a history of at least two failed prior adequate somatic treatments. In addition to usual physical work-up, all patients will have extensive thyroid testing, and then will receive standard dose Tranylcypromine (i.e., max. 60 mg/d). Non-remitters will have dose increased to max. 120 mg/d if tolerated. Non-remitters to high dose Tranylcypromine will then have Dextroamphetamine added with frequent blood pressure monitoring to max. 40 mg/d. Non-remitters will have Triiodothyronine added to the Tranylcypromine."
